pinyin	unattested
guair	
	
guānr	
guánr	
guǎnr	
guànr	
guanr	
	
guāngr	
guángr	True
guǎngr	
guàngr	
guangr	
	
guīr	
guír	
guǐr	
guìr	
guir	
	
gūnr	
gúnr	True
gǔnr	
gùnr	
gunr	
	
guōr	
guór	
guǒr	
guòr	
guor	
	
hār	
hár	
hǎr	
hàr	
har	
	
hāir	
háir	
hǎir	
hàir	
hair	
	
hānr	
hánr	
hǎnr	
hànr	
hanr	
	
hāngr	
hángr	
hǎngr	
hàngr	
hangr	
	
hāor	
háor	
hǎor	
hàor	
haor	
	
hēr	
hér	
hěr	
hèr	
her	
	
hēir	
héir	True
hěir	True
hèir	True
heir	
	
hēnr	
hénr	
hěnr	
hènr	
henr	
	
hēngr	
héngr	
hěngr	True
hèngr	
hengr	
	
hmr	
hngr	
hōngr	
hóngr	
hǒngr	
hòngr	
hongr	
	
hōur	
hóur	
hǒur	
hòur	
hour	
	
hūr	
húr	
hǔr	
hùr	
hur	
	
huār	
huár	
huǎr	
huàr	
huar	
	
huāir	
huáir	
huǎir	True
huàir	
huair	
	
huānr	
huánr	
huǎnr	
huànr	
huanr	
	
huāngr	
huángr	
huǎngr	
huàngr	
huangr	
	
huīr	
huír	
huǐr	
huìr	
huir	
	
hūnr	
húnr	
hǔnr	
hùnr	
hunr	
	
huōr	
huór	
huǒr	
huòr	
huor	
	
jīr	
jír	
jǐr	
jìr	
jir	
	
jiār	
jiár	
jiǎr	
jiàr	
jiar	
	
jiānr	
jiánr	True
jiǎnr	
jiànr	
jianr	
	
jiāngr	
jiángr	
jiǎngr	
jiàngr	
jiangr	
	
jiāor	
jiáor	
jiǎor	
jiàor	
jiaor	
	
jiēr	
jiér	
jiěr	
jièr	
jier	
	
jīnr	
jínr	True
jǐnr	
jìnr	
jinr	
	
jīngr	
jíngr	True
jǐngr	
jìngr	
jingr	
	
jiōngr	
jióngr	True
jiǒngr	
jiòngr	
jiongr	
	
jiūr	
jiúr	
jiǔr	
jiùr	
jiur	
	
jūr	
júr	
jǔr	
jùr	
jur	
	
juānr	
juánr	True
juǎnr	
juànr	
juanr	
	
juēr	
juér	
juěr	
juèr	
juer	
	
jūnr	
júnr	True
jǔnr	
jùnr	
junr	
	
kār	
kár	True
kǎr	
kàr	
kar	
	
kāir	
káir	True
kǎir	
kàir	
kair	
	
kānr	
kánr	True
kǎnr	
kànr	
kanr	
	
kāngr	
kángr	
kǎngr	
kàngr	
kangr	
	
kāor	
káor	True
kǎor	
kàor	
kaor	
	
kēr	
kér	
kěr	
kèr	
ker	
	
kēir	
kéir	True
kěir	True
kèir	True
keir	
	
kēnr	
kénr	True
kěnr	
kènr	
kenr	
	
kēngr	
kéngr	True
kěngr	
kèngr	True
kengr	
	
kōngr	
kóngr	True
kǒngr	
kòngr	
kongr	
	
kōur	
kóur	True
kǒur	
kòur	
kour	
	
kūr	
kúr	
kǔr	
kùr	
kur	
	
kuār	
kuár	True
kuǎr	
kuàr	
kuar	
	
kuāir	True
kuáir	True
kuǎir	
kuàir	
kuair	
	
kuānr	
kuánr	True
kuǎnr	
kuànr	
kuanr	
	
kuāngr	
kuángr	
kuǎngr	
kuàngr	
kuangr	
	
kuīr	
kuír	
kuǐr	
kuìr	
kuir	
	
kūnr	
kúnr	True
kǔnr	
kùnr	
kunr	
	
kuōr	True
kuór	True
kuǒr	
kuòr	
kuor	
	
lār	
lár	
lǎr	
làr	
lar	
	
lāir	True
láir	
lǎir	
làir	
lair	
	
lānr	
lánr	
lǎnr	
lànr	
lanr	
	
lāngr	
lángr	
lǎngr	
làngr	
langr	
	
lāor	
láor	
lǎor	
làor	
laor	
	
lēr	
lér	True
lěr	True
lèr	
ler	
	
lēir	
léir	
lěir	
lèir	
leir	
	
lēngr	
léngr	
lěngr	
lèngr	
lengr	
	
līr	
lír	
lǐr	
lìr	
lir	
	
liār	True
liár	True
liǎr	
liàr	True
liar	
	
liānr	True
liánr	
liǎnr	
liànr	
lianr	
	
liāngr	
liángr	
liǎngr	
liàngr	
liangr	
	
liāor	
liáor	
liǎor	
liàor	
liaor	
	
liēr	
liér	
liěr	
lièr	
lier	
	
līnr	
línr	
lǐnr	
lìnr	
linr	
	
līngr	
língr	
lǐngr	
lìngr	
lingr	
	
liūr	
liúr	
liǔr	
liùr	
liur	
	
lor	
	
lōngr	
lóngr	
lǒngr	
lòngr	
longr	
	
lōur	
lóur	
lǒur	
lòur	
lour	
	
lūr	
lúr	
lǔr	
lùr	
lur	
	
luānr	True
luánr	
luǎnr	
luànr	
luanr	
	
lüēr	True
lüér	True
lüěr	
lüèr	
lüer	
	
lūnr	
lúnr	
lǔnr	
lùnr	
lunr	
	
luōr	
luór	
luǒr	
luòr	
luor	
	
lǖr	True
lǘr	
lǚr	
lǜr	
lür	
	
mār	
már	
mǎr	
màr	
mar	
	
māir	True
máir	
mǎir	
màir	
mair	
	
mānr	
mánr	
mǎnr	
mànr	
manr	
	
māngr	
mángr	
mǎngr	
màngr	
mangr	
	
māor	
máor	
mǎor	
màor	
maor	
	
mer	
	
mēir	True
méir	
měir	
mèir	
meir	
	
mēnr	
ménr	
měnr	
mènr	
menr	
	
mēngr	
méngr	
měngr	
mèngr	
mengr	
	
mīr	
mír	
mǐr	
mìr	
mir	
	
miānr	
miánr	
miǎnr	
miànr	
mianr	
	
miāor	
miáor	
miǎor	
miàor	
miaor	
	
miēr	
miér	
miěr	True
mièr	
mier	
	
mīnr	True
mínr	
mǐnr	
mìnr	True
minr	
	
mīngr	
míngr	
mǐngr	
mìngr	
mingr	
	
miūr	
miúr	
miǔr	
miùr	
miur	
	
mōr	
mór	
mǒr	
mòr	
mor	
	
mōur	
móur	
mǒur	
mòur	
mour	
	
mūr	True
múr	
mǔr	
mùr	
mur	
	
nār	
nár	
nǎr	
nàr	
nar	
	
nāir	True
náir	
nǎir	
nàir	
nair	
	
nānr	
nánr	
nǎnr	
nànr	
nanr	
	
nāngr	
nángr	
nǎngr	
nàngr	
nangr	
	
nāor	
náor	
nǎor	
nàor	
naor	
	
nēr	True
nér	
něr	True
nèr	
ner	
	
nēir	True
néir	
něir	
nèir	
neir	
	
nēnr	True
nénr	True
něnr	
nènr	
nenr	
	
nēngr	True
néngr	
něngr	
nèngr	
nengr	
	
nīr	
nír	
nǐr	
nìr	
nir	
	
niānr	
niánr	
niǎnr	
niànr	
nianr	
	
niāngr	True
niángr	
niǎngr	
niàngr	
niangr	
	
niāor	True
niáor	True
niǎor	
niàor	
niaor	
	
niēr	
niér	
niěr	
nièr	
nier	
	
nīnr	True
nínr	
nǐnr	
nìnr	True
ninr	
	
nīngr	True
níngr	
nǐngr	
nìngr	
ningr	
	
niūr	
niúr	
niǔr	
niùr	
niur	
	
nōngr	
nóngr	
nǒngr	
nòngr	
nongr	
	
nōur	True
nóur	
nǒur	
nòur	
nour	
	
nūr	
núr	
nǔr	
nùr	
nur	
	
nuānr	True
nuánr	
nuǎnr	
nuànr	
nuanr	
	
nüēr	True
nüér	True
nüěr	True
nüèr	
nüer	
	
nūnr	True
núnr	
nǔnr	True
nùnr	
nunr	
	
nuōr	
nuór	
nuǒr	
nuòr	
nuor	
	
nǖr	True
nǘr	
nǚr	
nǜr	
nür	
	
ōr	
	
ór	
	
ǒr	
	
òr	
	
or	
	
ōur	
óur	
ǒur	
òur	
our	

pār	
pár	
pǎr	
pàr	
par	
	
pāir	
páir	
pǎir	
pàir	
pair	
	
pānr	
pánr	
pǎnr	
pànr	
panr	
	
pāngr	
pángr	
pǎngr	
pàngr	
pangr	
	
pāor	
páor	
pǎor	
pàor	
paor	
	
pēir	
péir	
pěir	
pèir	
peir	
	
pēnr	
pénr	
pěnr	
pènr	
penr	
	
pēngr	
péngr	
pěngr	
pèngr	
pengr	
	
pīr	
pír	
pǐr	
pìr	
pir	
	
piānr	
piánr	
piǎnr	
piànr	
pianr	
	
piāor	
piáor	
piǎor	
piàor	
piaor	
	
piēr	
piér	True
piěr	
pièr	
pier	
	
pīnr	
pínr	
pǐnr	
pìnr	
pinr	
	
pīngr	
píngr	
pǐngr	
pìngr	
pingr	
	
pōr	
pór	
pǒr	
pòr	
por	
	
pōur	
póur	
pǒur	
pòur	
pour	
	
pūr	
púr	
pǔr	
pùr	
pur	
	
qīr	
qír	
qǐr	
qìr	
qir	
	
qiār	
qiár	
qiǎr	
qiàr	
qiar	
	
qiānr	
qiánr	
qiǎnr	
qiànr	
qianr	
	
qiāngr	
qiángr	
qiǎngr	
qiàngr	
qiangr	
	
qiāor	
qiáor	
qiǎor	
qiàor	
qiaor	
	
qiēr	
qiér	
qiěr	
qièr	
qier	
	
qīnr	
qínr	
qǐnr	
qìnr	
qinr	
	
qīngr	
qíngr	
qǐngr	
qìngr	
qingr	
	
qiōngr	
qióngr	
qiǒngr	
qiòngr	
qiongr	
	
qiūr	
qiúr	
qiǔr	
qiùr	
qiur	
	
qūr	
qúr	
qǔr	
qùr	
qur	
	
quānr	
quánr	
quǎnr	
quànr	
quanr	
	
quēr	
quér	
quěr	True
quèr	
quer	
	
qūnr	
qúnr	
qǔnr	
qùnr	True
qunr	
	
rānr	True
ránr	
rǎnr	
rànr	
ranr	
	
rāngr	
rángr	
rǎngr	
ràngr	
rangr	
	
rāor	True
ráor	
rǎor	
ràor	
raor	
	
rēr	True
rér	
rěr	
rèr	
rer	
	
rēnr	True
rénr	
rěnr	
rènr	
renr	
	
rēngr	
réngr	
rěngr	True
rèngr	
rengr	
	
rīr	True
rír	
rǐr	True
rìr	
rir	
	
rōngr	
róngr	
rǒngr	
ròngr	
rongr	
	
rōur	True
róur	
rǒur	
ròur	
rour	
	
rūr	
rúr	
rǔr	
rùr	
rur	
	
ruār	True
ruár	
ruǎr	True
ruàr	True
ruar	
	
ruānr	True
ruánr	
ruǎnr	
ruànr	
ruanr	
	
ruīr	True
ruír	
ruǐr	
ruìr	
ruir	
	
rūnr	
rúnr	
rǔnr	
rùnr	
runr	
	
ruōr	True
ruór	
ruǒr	True
ruòr	
ruor	
	
sār	
sár	True
sǎr	
sàr	
sar	
	
sāir	
sáir	True
sǎir	
sàir	
sair	
	
sānr	
sánr	True
sǎnr	
sànr	
sanr	
	
sāngr	
sángr	True
sǎngr	
sàngr	
sangr	
	
sāor	
sáor	True
sǎor	
sàor	
saor	
	
sēr	True
sér	True
sěr	True
sèr	
ser	
	
sēnr	
sénr	True
sěnr	
sènr	True
senr	
	
sēngr	
séngr	True
sěngr	True
sèngr	
sengr	
	
shār	
shár	
shǎr	
shàr	
shar	
	
shāir	
sháir	True
shǎir	
shàir	
shair	
	
shānr	
shánr	
shǎnr	
shànr	
shanr	
	
shāngr	
shángr	
shǎngr	
shàngr	
shangr	
	
shāor	
sháor	
shǎor	
shàor	
shaor	
	
shēr	
shér	
shěr	
shèr	
sher	
	
shēir	True
shéir	
shěir	True
shèir	True
sheir	
	
shēnr	
shénr	
shěnr	
shènr	
shenr	
	
shēngr	
shéngr	
shěngr	
shèngr	
shengr	
	
shīr	
shír	
shǐr	
shìr	
shir	
	
shōur	
shóur	
shǒur	
shòur	
shour	
	
shūr	
shúr	
shǔr	
shùr	
shur	
	
shuār	
shuár	True
shuǎr	
shuàr	
shuar	
	
shuāir	
shuáir	True
shuǎir	
shuàir	
shuair	
	
shuānr	
shuánr	True
shuǎnr	True
shuànr	
shuanr	
	
shuāngr	
shuángr	True
shuǎngr	
shuàngr	
shuangr	
	
shuīr	True
shuír	
shuǐr	
shuìr	
shuir	
	
shūnr	True
shúnr	True
shǔnr	
shùnr	
shunr	
	
shuōr	
shuór	
shuǒr	True
shuòr	
shuor	
	
sīr	
sír	
sǐr	
sìr	
sir	
	
sōngr	
sóngr	
sǒngr	
sòngr	
songr	
	
sōur	
sóur	True
sǒur	
sòur	
sour	
	
sūr	
súr	
sǔr	
sùr	
sur	
	
suānr	
suánr	True
suǎnr	
suànr	
suanr	
	
suīr	
suír	
suǐr	
suìr	
suir	
	
sūnr	
súnr	True
sǔnr	
sùnr	
sunr	
	
suōr	
suór	
suǒr	
suòr	
suor	
	
tār	
tár	
tǎr	
tàr	
tar	
	
tāir	
táir	
tǎir	
tàir	
tair	
	
tānr	
tánr	
tǎnr	
tànr	
tanr	
	
tāngr	
tángr	
tǎngr	
tàngr	
tangr	
	
tāor	
táor	
tǎor	
tàor	
taor	
	
tēr	True
tér	True
těr	True
tèr	
ter	
	
tēir	
téir	True
těir	True
tèir	True
teir	
	
tēngr	
téngr	
těngr	True
tèngr	
tengr	
	
tīr	
tír	
tǐr	
tìr	
tir	
	
tiānr	
tiánr	
tiǎnr	
tiànr	
tianr	
	
tiāor	
tiáor	
tiǎor	
tiàor	
tiaor	
	
tiēr	
tiér	
tiěr	
tièr	
tier	
	
tīngr	
tíngr	
tǐngr	
tìngr	
tingr	
	
tōngr	
tóngr	
tǒngr	
tòngr	
tongr	
	
tōur	
tóur	
tǒur	
tòur	
tour	
	
tūr	
túr	
tǔr	
tùr	
tur	
	
tuānr	
tuánr	
tuǎnr	
tuànr	
tuanr	
	
tuīr	
tuír	
tuǐr	
tuìr	
tuir	
	
tūnr	
túnr	
tǔnr	
tùnr	
tunr	
	
tuōr	
tuór	
tuǒr	
tuòr	
tuor	
	
wār	
wár	
wǎr	
wàr	
war	
	
wāir	
wáir	True
wǎir	
wàir	
wair	
	
wānr	
wánr	
wǎnr	
wànr	
wanr	
	
wāngr	
wángr	
wǎngr	
wàngr	
wangr	
	
wēir	
wéir	
wěir	
wèir	
weir	
	
wēnr	
wénr	
wěnr	
wènr	
wenr	
	
wēngr	
wéngr	
wěngr	
wèngr	
wengr	
	
wōr	
wór	True
wǒr	
wòr	
wor	
	
wūr	
wúr	
wǔr	
wùr	
wur	
	
xīr	
xír	
xǐr	
xìr	
xir	
	
xiār	
xiár	
xiǎr	
xiàr	
xiar	
	
xiānr	
xiánr	
xiǎnr	
xiànr	
xianr	
	
xiāngr	
xiángr	
xiǎngr	
xiàngr	
xiangr	
	
xiāor	
xiáor	
xiǎor	
xiàor	
xiaor	
	
xiēr	
xiér	
xiěr	
xièr	
xier	
	
xīnr	
xínr	
xǐnr	
xìnr	
xinr	
	
xīngr	
xíngr	
xǐngr	
xìngr	
xingr	
	
xiōngr	
xióngr	
xiǒngr	
xiòngr	
xiongr	
	
xiūr	
xiúr	
xiǔr	
xiùr	
xiur	
	
xūr	
xúr	
xǔr	
xùr	
xur	
	
xuānr	
xuánr	
xuǎnr	
xuànr	
xuanr	
	
xuēr	
xuér	
xuěr	
xuèr	
xuer	
	
xūnr	
xúnr	
xǔnr	True
xùnr	
xunr	
	
yār	
yár	
yǎr	
yàr	
yar	
	
yāir	True
yái
yǎir	True
yàir	True
yair	True
	
yānr	
yánr	
yǎnr	
yànr	
yanr	
	
yāngr	
yángr	
yǎngr	
yàngr	
yangr	
	
yāor	
yáor	
yǎor	
yàor	
yaor	
	
yēr	
yér	
yěr	
yèr	
yer	
	
yīr	
yír	
yǐr	
yìr	
yir	
	
yīnr	
yínr	
yǐnr	
yìnr	
yinr	
	
yīngr	
yíngr	
yǐngr	
yìngr	
yingr	
	
yōr	
yór	True
yǒr	True
yòr	True
yor	
	
yōngr	
yóngr	
yǒngr	
yòngr	
yongr	
	
yōur	
yóur	
yǒur	
yòur	
your	
	
yūr	
yúr	
yǔr	
yùr	
yur	
	
yuānr	
yuánr	
yuǎnr	
yuànr	
yuanr	
	
yuēr	
yuér	
yuěr	
yuèr	
yuer	
	
yūnr	
yúnr	
yǔnr	
yùnr	
yunr	
	
zār	
zár	
zǎr	
zàr	
zar	
	
zāir	
záir	
zǎir	
zàir	
zair	
	
zānr	
zánr	True
zǎnr	
zànr	
zanr	
	
zāngr	
zángr	True
zǎngr	
zàngr	
zangr	
	
zāor	
záor	
zǎor	
zàor	
zaor	
	
zēr	
zér	
zěr	True
zèr	
zer	
	
zēir	True
zéir	
zěir	True
zèir	True
zeir	
	
zēnr	
zénr	True
zěnr	
zènr	
zenr	
	
zēngr	
zéngr	True
zěngr	
zèngr	
zengr	
	
zhār	
zhár	
zhǎr	
zhàr	
zhar	
	
zhāir	
zháir	
zhǎir	
zhàir	
zhair	
	
zhānr	
zhánr	True
zhǎnr	
zhànr	
zhanr	
	
zhāngr	
zhángr	True
zhǎngr	
zhàngr	
zhangr	
	
zhāor	
zháor	
zhǎor	
zhàor	
zhaor	
	
zhēr	
zhér	
zhěr	
zhèr	
zher	
	
zhēir	True
zhéir	True
zhěir	True
zhèir	
zheir	
	
zhēnr	
zhénr	True
zhěnr	
zhènr	
zhenr	
	
zhēngr	
zhéngr	True
zhěngr	
zhèngr	
zhengr	
	
zhīr	
zhír	
zhǐr	
zhìr	
zhir	
	
zhōngr	
zhóngr	True
zhǒngr	
zhòngr	
zhongr	
	
zhōur	
zhóur	
zhǒur	
zhòur	
zhour	
	
zhūr	
zhúr	
zhǔr	
zhùr	
zhur	
	
zhuār	
zhuár	True
zhuǎr	
zhuàr	True
zhuar	
	
zhuāir	
zhuáir	True
zhuǎir	
zhuàir	
zhuair	
	
zhuānr	
zhuánr	True
zhuǎnr	
zhuànr	
zhuanr	
	
zhuāngr	
zhuángr	True
zhuǎngr	
zhuàngr	
zhuangr	
	
zhuīr	
zhuír	True
zhuǐr	
zhuìr	
zhuir	
	
zhūnr	
zhúnr	True
zhǔnr	
zhùnr	
zhunr	
	
zhuōr	
zhuór	
zhuǒr	True
zhuòr	
zhuor	
	
zīr	
zír	
zǐr	
zìr	
zir	
	
zōngr	
zóngr	True
zǒngr	
zòngr	
zongr	
	
zōur	
zóur	
zǒur	
zòur	
zour	
	
zūr	
zúr	
zǔr	
zùr	
zur	
	
zuānr	
zuánr	True
zuǎnr	
zuànr	
zuanr	
	
zuīr	
zuír	
zuǐr	
zuìr	
zuir	
	
zūnr	
zúnr	True
zǔnr	
zùnr	
zunr	
	
zuōr	
zuór	
zuǒr	
zuòr	
zuor	
	
